Title,TMDb_id,IMDb_id,Release Date,Synopsis Short,Synopsis Long,Language,Status,Budget,RT Rating,Metascore,IMDb Rating,IMDb Votes,DVD Date,Box Office,Genre IDs
An Uncommon Education - Celebrating 200 Years of the University of Michigan,492319,,2017-12-05,,"Over 200 years, the University of Michigan has borne leaders in every discipline that have shaped our lives in a multitude of ways, but always on a clear path that began in a classroom. An Uncommon Education – Celebrating 200 Years of the University of Michigan is a short-form documentary series to air on Detroit Public Television (DPTV) throughout 2017 as part of a multimedia effort to recognize 200 years of the University’s role as an educator and institution in the state, nation and world.",en,Released,0,,,,,,,[]
The Road to Zennor,503325,tt6574228,2017-12-05,The curious joy in the warm passing of time is most acute in the long shadows of the end of the line autumn coming stillness...,The curious joy in the warm passing of time is most acute in the long shadows of the end of the line autumn coming stillness,en,Released,0,,N/A,N/A,N/A,N/A,N/A,[]
Alien Contact: NASA Exposed 2,496894,,2017-12-01,,"A former astronaut recently went on record to allege that there is abundant evidence that we are being contacted by Alien races and that these civilizations have been visiting us for a very long time. These claims also state that the Alien creatures appearance ""is bizarre compared to any type of traditional western point of view and that these visitors use the technologies of consciousness and that they use ""toroids,"" co-rotating magnetic disks for their propulsion systems. In addition, the recent discovery of 1,300 exoplanets that could sustain life has rocked the scientific world. Now more and more people, from world leaders to former astronauts, are testifying that UFOs not only exist, but that Aliens are here and have been monitoring the human race for centuries.",en,Released,0,,,,,,,[]
ATTACK! Pro Wrestling - Under the MistleTour 2017 Night 2,509358,,2017-12-17,,"1. El Phantasmo vs. Ryan Smile 2. ATTACK! Pro Wrestling Tag Team Championship; Bowl-A-Rama vs. Chris Brookes and The Love Making Demon 3. Anti-Fun Police vs. Travis Banks, Eddie Dennis and Aussie Open 4. Bird & Boar vs. Flash Morgan Webster 5. NOTHING TO PROVE vs. Mark Andrews, Jeff Ramsey and Danny Jones 6. Loser Leaves ATTACK! Pro Wrestling; Shay Purser vs. Chris Roberts",en,Released,0,,,,,,,[]
An Uncommon Education - Celebrating 200 Years of the University of Michigan,492319,,2017-12-05,,"Over 200 years, the University of Michigan has borne leaders in every discipline that have shaped our lives in a multitude of ways, but always on a clear path that began in a classroom. An Uncommon Education – Celebrating 200 Years of the University of Michigan is a short-form documentary series to air on Detroit Public Television (DPTV) throughout 2017 as part of a multimedia effort to recognize 200 years of the University’s role as an educator and institution in the state, nation and world.",en,Released,0,,,,,,,[]
Blood Child,487719,tt5457926,2017-11-25,N/A,"Blood Child is horror thriller based on a true story. Bill and Ashely DiAngelo seem to have it all, an overseas posting to Singapore, life in paradise and a new baby on the way. But tragedy strikes when she loses the baby and sinks into a deep depression. Unbeknownst to Bill, Ashley decides that the only way for her to ""be"" with her miscarried child is to dabble in the South East Asian occult practice of raising her own ""ghost child"". She seeks the help of her Indonesian maid, Siti, tasking her to find a bomoh (witch doctor) who knows how to trap the spirit of unborn dead fetuses. Siti tries to dissuade Ashley from resorting to such dark magic but to no avail. In the meantime, in an effort to put the tragic events of the miscarriage behind them, Bill decides that it would be good for the couple to return home to Minnesota to start their lives over. Several months after their return to the US, Ashley and Bill are surprised to find themselves pregnant again....",en,Released,0,,N/A,N/A,N/A,N/A,N/A,[]
Still,496883,tt5887084,2017-12-15,"A woman is plagued by a masked, statuesque figure that never moves.","A woman is plagued by a masked, statuesque figure that never moves.",en,Released,0,,N/A,7.0,11,N/A,N/A,[27]
Savage,514152,tt5124206,2017-12-07,A hopeful neurologist gathers a detail of antisocial criminals for weekly meetings in an attempt to cure them of their dysfunctional ways -- but it does not take long for him to realize that this was a bad idea from the get-go.,A hopeful neurologist gathers a detail of antisocial criminals for weekly meetings in an attempt to cure them of their dysfunctional ways -- but it does not take long for him to realize that this was a bad idea from the get-go.,en,Released,11000,,N/A,8.3,28,N/A,N/A,"[35, 18]"
It,501007,,2017-12-14,,"A blind man reports on an eclipse, a light phenomenon that he perceives through senses that do not involve sight. He takes us by the hand and guides us through the dark, through this temporary event that transforms the world as we know it.",en,Released,0,,,,,,,[]
Just in Time,492474,,2017-12-01,,A man at the cinema finds out that the movie he's watching is a little more interactive than he expected...,en,Released,0,,,,,,,[]
60 Seconds to Die,497830,tt4942694,2017-12-05,"Horror Anthology ""60 second short films that will scar you for a lifetime""","Horror Anthology ""60 second short films that will scar you for a lifetime""",en,Released,0,,N/A,6.6,32,N/A,N/A,[27]
Mark Thomas : Cuckooed,498666,,2017-12-11,,"The true story of how Mark discovered his close friend was spying on him for Britain's biggest arms dealer. A tale of hubris, friendship, loss and undercover deceit told by an award-winning comedian.",en,Released,0,,,,,,,[]
Nutag-Homeland,500034,tt5997756,2017-11-17,"A non-narrative hand-painted visual poem about diaspora, homeland, and the tragic mass-deportations of the Kalmyk people during WWII.","A non-narrative hand-painted visual poem about diaspora, homeland, and the tragic mass-deportations of the Kalmyk people during WWII.",en,Released,0,,N/A,7.1,32,N/A,N/A,[]
The Performance,492746,tt3891720,2017-12-15,The Performance is a wonderfully dramatic and heartbreaking film that follows a well known actor as he prepares for a one night only performance in a theater run down by time. It was the ...,An actor returns to give a one-man show at the location of his inaugural performance.,en,Released,0,,N/A,N/A,N/A,N/A,N/A,[]
Lower,517145,,2017-12-15,,Corridors of a Basement,en,Released,0,,,,,,,[]
The 86th Annual Hollywood Christmas Parade,492758,tt7806074,2017-12-15,N/A,"HOLLYWOOD HOLIDAY TRADITION WITH GRAND MARSHAL DR. OZ – Dr. Oz serves as Grand Marshal for the “Largest Christmas Celebration in America.” Hosted by popular personalities Erik Estrada, Laura McKenzie, Dean Cain and Montel Williams, with special co-hosts Elizabeth Stanton and Garrett Clayton, the parade on Hollywood Boulevard will include live musical performances that will take place on two stages.",en,Released,0,,N/A,N/A,N/A,N/A,N/A,[14]
Minion Moments: Drenched,501102,tt7855516,2017-12-05,Minions use a virtual reality device playing in water.,Minions use a virtual reality device playing in water.,en,Released,0,,N/A,6.7,10,N/A,N/A,"[16, 10751]"
ISLA,484954,,2017-11-03,,"As two sisters reluctantly move from their family home, their intelligent home system provides solace through forgotten moments from the past. The story follows Maddie, the younger sister, as she is able to relive moments from the history of the house, as shown to her by ISLA. Initially, Maddie finds the discovery of the feature entertaining, but soon discovers that this insightful view into the past has more in store for her and becomes an eye-opening experience in gaining perspective and embracing the present.",en,Released,0,,,,,,,[]
Star Wars: Rey’s Origin Story,527314,,2017-11-30,,,en,Released,0,,,,,,,[878]
New York 2150,486997,tt6044118,2017-11-11,"Intergalactic bounty hunter Jayden Jaxon partners with ex-cop Mac Cole to track down a psychotic killer for a generous fee. When their search brings Jayden back to his hometown, the ghosts of his past haunt every corner of New Manhattan.","Intergalactic bounty hunter Jayden Jaxon partners with ex-cop Mac Cole to track down a psychotic killer for a generous fee. When their search brings Jayden back to his hometown, the ghosts of his past haunt every corner of New Manhattan.",en,Released,0,,N/A,N/A,N/A,,,[]
Cherry Limeade,501570,,2017-12-11,,A boy and girl meet for a very dramatic lunch.,en,Released,20,,,,,,,"[35, 18, 10749]"
Bird Karma,510738,tt7674192,2017-12-01,N/A,A leggy bird discovers that you get as good as you give.,en,Released,0,,N/A,N/A,N/A,N/A,N/A,[]
tEXt,508245,,2017-11-28,,A modern day take on silent films blended with horror.,en,Released,0,,,,,,,[]
The Story of Drifting Cities,491714,tt7531540,2017-12-09,,Two actors play two lovers before meeting death in a car crash. They drift through muddled memories and moments in search of one another.,en,Released,0,,,,,,,[]
Pumpkin,492770,,2017-12-12,,"An obsessed member of a Mel Gibson support group travels back in time, into the body of a 9-year-old girl, setting forth a series of events which ultimately lead to his worst nightmare.",en,Released,0,,,,,,,[]
Capel Celyn,492939,,2017-11-10,,"“I don’t believe in ghosts but I do believe places can be haunted by meaning. Places change, not always for the better and not always by natural, benevolent or politically sound means. A place can be charged with atmosphere because of what it has been through or what it has been.  Phantom Brickworks is a collection of mostly improvised musical pieces, that for some years now, have provided me with a mental portal into places and times - some real, some imaginary, some a combination of both. Human beings are highly sensitive to the atmospheres of places, which can be enhanced or dramatically altered when you learn about the context of their history. Echoes and voices can sometimes be heard, in some way or another. Places sometimes have things to say.”  — Bibio",en,Released,0,,,,,,,[]
Near Loutra Iraias,491736,,2017-12-09,,"A two minute silent film from 100 feet of Ektachrome, filmed while at the Markopoulos Temenos in Arkadia in 2012.",en,Released,0,,,,,,,[]
Ashwatthama,485172,,2017-11-08,,"On holiday from boarding school, young Ishvaku is fascinated by the bedtime story his mother relates to him—that of the warrior Ashwatthama, from the Mahabharata, whose blind vengeance provokes a curse from Lord Krishna, forcing him to wander the earth in eternal suffering. But the story is interrupted by a bandit raid in which Ishvaku’s mother is killed, and Ishvaku is packed off to his ancestral village in the Chambal Valley ravines of Central India. There he discovers a family in crisis, whose rituals, traditions and orthodox feudal values are becoming redundant. Meanwhile, Ishvaku’s own life take a strange turn, as a visiting sacred bull predicts that both wisdom and tragedy will soon come to him. In anticipation of such tragedy, Ishvaku attempts to escape into the magical realm of Ashwatthama",en,Released,0,,,,,,,"[14, 18]"
Balada Bala Sinema,490618,,2017-12-05,,"Balada Bala Sinema is a story about the journey of FFP (Purbalingga Film Festival) crews in their hardship of managing the festival for more than 10 years. In 2016, Yuda Kurniawan decided to record the journey of FFP crews in producing Layar Tanjleb. The shooting process of Layar Tanjleb that takes more than a month to complete is going to present us a delightful story.",en,Released,0,,,,,,,[]
Mark Thomas : Bravo Figaro!,498663,,2017-12-11,,"As a teenager working on his dad's building sites, Mark used to cringe when he blasted opera out to the workers. Now he's written a show about him in all his grumpy glory. In the performance I say this is not a show about love, well it turns out I was wrong.",en,Released,0,,,,,,,[]
"PROGRESS Chapter 59: Whatever People Say We Are, That's What We're Not",526967,,2017-12-10,,"Chapter 59: Whatever People Say We Are, That's What We're Not  Show date: 10th December 2017  A card heavily subject to change due to snowfall across the UK!  These matches remained from the advertised card:  Travis Banks (c) v Eddie Dennis - PROGRESS World Championship match  Chris Brookes vs Matt Cross  Doug Williams' Open Challenge  plus 4 more matches which we won't list here so as not to spoil the surprises :-)",en,Released,0,,,,,,,[]
Moss,497906,,2017-12-10,,A unknown figure walks along murky waters as he experiences a journey of reflection through unrecognized lands.,en,Released,0,,,,,,,[18]
Lo,508902,tt6977822,2017-12-10,We must protect this house.,We must protect this house.,en,Released,0,,N/A,N/A,N/A,N/A,N/A,[16]
VIA,505935,,2017-11-09,,"We should open our eyes to the good things that happen every day, to the experiences we share with the people we love, and the silver linings and the lessons to be learnt in even the lowest times.",en,Released,0,,,,,,,[]
Goldfish,511711,tt7613334,2017-12-07,"A young boy thinks his new goldfish is gay, much to the horror of his conservative father.","A young boy thinks his new goldfish is gay, much to the horror of his conservative father.",en,Released,0,,N/A,7.7,34,N/A,N/A,[]
F,491716,,2017-12-09,,"A film made for LIVE, a workshop held by Bianco-Valente. Curated by Giusy Caroppo as a part of the InContemporanea exhibition.",en,Released,0,,,,,,,[]
Letters,488282,tt5491670,2017-11-25,N/A,"Something dark boils below the surface of a game of Letters, setting off a series of unexpected events, forever changing a marriage.",en,Released,0,,N/A,N/A,N/A,N/A,N/A,"[9648, 35, 18]"
Reel 17,491055,,2017-12-06,,A short film by Roy Shtayim.,en,Released,0,,,,,,,[]
Ramusiana,491760,,2017-12-09,,"A description of some parts of the world - explored, visited, documented, imagined. An abstract attempt at finding them again. The title refers to geographer and civil servant of the Republic of Venice Giovanni Battista Ramusio (1485-1557).",en,Released,0,,,,,,,[]
A.M.A.,491130,,2017-12-05,,A v-logger takes questions from strangers in a film-related community.,en,Released,0,,,,,,,"[18, 35]"
skulk,491325,,2017-12-07,,Goodnight.,en,Released,0,,,,,,,[9648]
The Return of the Monster,491694,,2017-12-02,,A little boy is bedeviled by recurring nightmares of a monster that just won’t go away.,en,Released,0,,,,,,,[16]
The Lost Sound,531832,,2017-11-24,,Reflections on the battle to master the sounds of a disappearing dialect and transform them into words with meaning.,en,Released,0,,,,,,,[16]
91st Annual Macy's Thanksgiving Day Parade,489464,tt7620960,2017-11-23,N/A,"More than 8,000 participants, some donning clown costumes, handling balloon giants or striking up the band, will set off down the streets of Manhattan at the sound of the time-honored catchphrase ""Let's Have a Parade."" With a live audience more than 3.5 million strong and a nationwide television gathering of more than 50 million viewers, the Macy's Thanksgiving Day Parade is the nation's most beloved holiday pageant.",en,Released,0,,N/A,N/A,N/A,N/A,N/A,[10751]
The GF Club,507366,,2017-11-01,,"In 2007, my sister was asked out on her first date. We were in middle school. It all happened on Google Chat. These are the transcripts.",en,Released,0,,,,,,,[35]
The Lost Sound,531832,,2017-11-24,,Reflections on the battle to master the sounds of a disappearing dialect and transform them into words with meaning.,en,Released,0,,,,,,,[16]
Istanbul Story,421363,tt5334326,2017-12-01,"If memory is our gaze on the past and past, a boat sailing away to another country then, Katia's unexpected journey to Istanbul traps her in a chain of adventures enacted on the front of ...",Katia’s unexpected journey to Istanbul traps her in a chain of adventures enacted on the front of her disrupted childhood. She discovers her mother’s secrets and faces her own inner desires and dilemmas.,en,Released,0,,N/A,N/A,N/A,N/A,N/A,"[12, 18, 10751]"
Chris Voth: Cashmere,488472,,2017-11-22,,"Chris Voth is an accomplished comedian, a licensed teacher, and a published author. Voth made his debut late-night television appearance on the Late Late Show with Craig Ferguson. He also appeared in three seasons of NBC's Last Comic Standing and was chosen for the prestigious Great American Comedy Festival. A 15-year comedy veteran, Voth is a past winner of the Denver Comedy Works Competition and has worked with everyone from Dave Chappelle to Larry the Cable Guy to Linda Ronstadt. Voth’s first comedy CD titled ""Never Mind the Jim J Bullocks, Here's the Chris Voth"" is currently available for purchase. Chris currently balances his performance schedule with his full-time high-school teaching career. You can read his short story, ""Stand Up and Deliver,"" published in the Cream City Review Literary Journal. In it, Chris shares the experiences he had when entering the teaching field after years in stand-up comedy.",en,Released,0,,,,,,,[]
Sea to Shining Sea,482955,tt6099438,2017-11-04,"Brothers from other mothers, from different sides of the world, with different opinions on damn near everything, travel in a dusty old Subaru, coast to coast across the fantastic and fantastically flawed United States of America.","Brothers from other mothers, from different sides of the world, with different opinions on damn near everything, travel in a dusty old Subaru, coast to coast across the fantastic and fantastically flawed United States of America.",en,Released,0,,N/A,N/A,N/A,N/A,N/A,[]
The Surrogate,513352,,2017-12-02,,"Juliana Bach suffers from an anxiety disorder caused by a proliferation of augmented and virtual realities in her daily life. After struggling with the disorder and experimenting with various treatments, she decides to hire a “Surrogate” to assume her physical presence. You choose how to follow the narrative, navigate the passageways, and see into the various rooms through the live action portals that offer an immersive vantage point. The story builds to a dramatic conclusion in which both Juliana and the Surrogate face the potential sublimation of their identities – two halves of a nearly merged new whole.",en,Released,0,,,,,,,[]
The Inferno Unseen,516799,,2017-12-01,,"Henri-George Clouzot’s The Inferno, starring Romy Schneider, is one of the most tantalizing uncompleted projects in film history. The Inferno Unseen is a newly edited assemblage of rushes filmed in 1964. With his cinematographers Andréas Winding, Armand Thirard, and Claude Renior, Clouzot staged seemingly endless kinetic and optical experiments focusing primarily on Schneider performing simple, seductive actions in carefully composed mises-en-scène. Departing from Serge Bromberg’s critically acclaimed documentary about the making of Clouzot’s film (2009), The Inferno Unseen focuses solely on Clouzot’s intoxicating visions, allowing them to build their own momentum as they unfurl in all their glory. Rollo Smallcombe is a London-based music producer, composer and filmmaker. His sonic inspirations range from the early experiments of Musique Concrete through to modern video-game, film, and horror scores.",en,Released,0,,,,,,,[]
Burton Before and After,519973,,2017-12-04,,"Fifteen years after Burton began his gender-affirming transition, his longtime friend Courtney calls him up with news that she has uncovered a cache of home video footage from that time period. In the wake of greater transgender awareness in the dominant culture, Courtney proposes that they go on-camera to revisit the old footage together. Burton worries about outing himself to co-workers who are unaware of his gender reassignment and declines Courtney's proposition. But after the election of the 45th President of the United States, Burton changes his mind and his fear is no longer as important as his truth.  Burton Before and After is an intimate portrait of transition, memory, and friendship.",en,Released,0,,,,,,,[]
MINDWALK,490312,,2017-12-06,,A confused teenager tries to understand and accept being alone.,en,Released,0,,,,,,,[]
Mohey,491671,,2017-12-02,,"Mohey is separated from her twin sister and abused after she is plucked from an orphanage as a girl. She becomes trapped in a life of underhand dealings and illegal trading, where her intellect and beauty are used as commodities. When she is coerced into a temporary marriage to secure a deal...",en,Released,10000,,,,,,,[18]
Debut,495693,tt7523630,2017-11-21,"The soulless atmosphere of a women's penitentiary destroys the prisoners' personality, kills all femininity in them. The film looks at the rationality of the long prison terms for women with children.","The soulless atmosphere of a women's penitentiary destroys the prisoners' personality, kills all femininity in them. The film looks at the rationality of the long prison terms for women with children.",en,Released,0,,N/A,N/A,N/A,N/A,N/A,[]
Unearthing. In Conversation.,501870,,2017-12-01,,"The seats in the theatre are still empty when the performer – the artist – enters the frame. She speaks about a colonial flashback. She is haunted by a series of historic photographs of or taken by the Austrian ethnographer Paul Schebesta in the 1930s, in the Belgian colony of the Congo.",en,Released,0,,,,,,,[]
Rachel Whiteread: Ghost in the Room,491148,,2017-12-02,,"An intimate portrait of British sculptor Rachel Whiteread as she unpacks her life's work for a major retrospective at Tate Britain in London. Her work explores themes of memory and absence, casting sculptural forms from familiar domestic objects small and large, from sinks and hot water bottles to living rooms - and a terraced house.",en,Released,0,,,,,,,[]
FaceTime,508411,,2017-11-24,,"Sophie & Julie speak to each other via FaceTime, reminiscing about their time at boarding school. Before ending the call, they recall the chant they would say in the dorm before lights night... Have they gone one memory to far?",en,Released,0,,,,,,,[27]
Dream House,532523,,2017-11-01,,A social satire about the battle of the sexes. This hilarious short pits a woman – whose nesting desire trumps even her personal happiness – against her philandering boyfriend.,en,Released,0,,,,,,,[35]
Indecent,488075,tt7257508,2017-11-17,"TV production of the Tony Award-winning play, based on the story of a Broadway acting troupe arrested for indecency for performing Sholem Asch's ""God of Vengeance"" and their fight against censorship.","Written by Pulitzer Prize-winner Paula Vogel, created by Ms. Vogel and Rebecca Taichman, and directed by Ms. Taichman, Indecent is about the love and passion to create theatre, even in the most difficult of circumstances. The play follows a troupe of actors, the cast of Sholem Asch’s God of Vengeance, who risked their lives and careers against enormous challenges to perform a work in which they deeply believed, at a time when art, freedom and truth were on trial. It is a story told with compassion and honesty, but also with great theatricality, and joyous songs and dances.  The capture of Indecent was completed just prior to its final Broadway performance in August. Eight high-definition cameras captured every heartbreaking moment of this production at Broadway’s Cort Theatre.",en,Released,0,,N/A,6.6,17,N/A,N/A,[]
How to Build a Robot,500588,,2017-11-29,,How to Build a Robot,en,Released,0,,,,,,,[]
Truth,459439,tt1454700,2017-11-28,A terrorist cell takes three Americans hostage and threatens to expose a secret that will shatter America's soul.,A terrorist cell takes three Americans hostage and threatens to expose a secret that will shatter America's soul.,en,Released,0,,N/A,7.4,736,N/A,N/A,[]
Liewe Kersfeesvader,486031,tt4458344,2017-11-17,"A teenage beauty queen is flung into swift adulthood when her father assumes a new identity: Father Christmas. Juggling a crazy father, an impressionable kid brother and a growing romance, Nonnie has to redefine her own meaning of family.","A teenage beauty queen is flung into swift adulthood when her father assumes a new identity: Father Christmas. Juggling a crazy father, an impressionable kid brother and a growing romance, Nonnie has to redefine her own meaning of family.",en,Released,0,,N/A,N/A,N/A,N/A,N/A,[18]
King Cnut,486598,tt5824910,2017-11-18,"The extraordinary and hilarious saga of comedian Dave Griffiths' fight against fashion industry giant French Connection, for the right to wear his CNUT t-shirt.","The extraordinary and hilarious saga of comedian Dave Griffiths' fight against fashion industry giant French Connection, for the right to wear his CNUT t-shirt.",en,Released,0,,N/A,N/A,N/A,N/A,N/A,[]
Guardians,489610,tt5816046,2017-11-28,"Two highly unqualified men are thrown together as Live-in Guardians of a 200 year old house. What at first seems like a easy job is soon shown to be anything but, when the house comes under attack from unseen forces.",Two men are thrown together as live-in guardians of a 200 year-old house in the East End of London. But they are not alone. And so instead of learning to live together they have to fight to live through the night.,en,Released,0,,N/A,7.8,26,N/A,N/A,[]
Truth,459439,tt1454700,2017-11-28,A terrorist cell takes three Americans hostage and threatens to expose a secret that will shatter America's soul.,A terrorist cell takes three Americans hostage and threatens to expose a secret that will shatter America's soul.,en,Released,0,,N/A,7.4,736,N/A,N/A,[]
The Temple of Lilith,489881,tt7657098,2017-11-29,"After the last witch of the south became ashes, never to be remembered, the mother of darkness, Lilith, rises from the ground to harvest the fruits of deadly sin, and set an end to the ...","After the last witch of the south became ashes, never to be remembered, the mother of darkness, Lilith, rises from the ground to harvest the fruits of deadly sin, and set an end to the holocaust of the saints, the religious pandemic that tried to enslave and ultimately annihilate her kind. Planting the seeds of the goat into her skull, she goes her way, on a quest of darkness, to open the gates of hell, become one with the lord of flies.",en,Released,0,,N/A,9.5,11,N/A,N/A,[27]
Bellator 189: Budd vs. Blencowe 2,492031,,2017-12-01,,"Bellator 189: Budd vs. Blencowe 2 took place December 1, 2017 at the WinStar World Casino in Thackerville, Oklahoma. The event aired live in prime time on Spike TV.  In the Bellator 189 main event, women's featherweight champion Julia Budd faced Arlene Blencowe in a rematch. The pair originally fought at Bellator 162 with Budd winning via majority decision. The co-main event was a middleweight bout between Rafael Lovato Jr. and Chris Honeycutt.",en,Released,0,,,,,,,[]
What if Wendy,516701,tt7880200,2017-11-30,"In the near future in which genetic engineering is the norm for couples looking to have a child, DR. MARA STEVENS, a case manager for a genetic engineering firm, leads an isolated, ...","In the near future in which genetic engineering is the norm for couples looking to have a child, DR. MARA STEVENS, a case manager for a genetic engineering firm, leads an isolated, meticulous existence consumed by work and little else. But as her deceased daughter's seventh birthday approaches, Mara begins to ask herself, ""what if Wendy hadn't died?"" In opening this Pandora's box, Mara is faced with the debilitating grief she has suppressed for so long.",en,Released,0,,N/A,N/A,N/A,N/A,N/A,[878]
H,519575,,2017-12-01,,An animated short about the chaos of war.,en,Released,0,,,,,,,[]
Her Name In My Mouth,501865,,2017-12-01,,"The film revisions the Aba Women’s War, the first major anti-colonial uprisings in Nigeria, using embodiment, gesture and the archive. The film is structured around the repurposing of archival films from the British propaganda arm cut against a gestural evocation of the women’s testimonies.",en,Released,0,,,,,,,[]
Mugabo,501867,,2017-12-01,,"Mugabo is an experimental short film about a young girl's return to the idealised homeland, a journey to a place full of borrowed memories. Director Amelia Umuhire, a Rwandese filmmaker living in Germany, also directed and produced the fictional web series Polyglot about the lives of young black artists in Europe.",en,Released,0,,,,,,,[]
Pink:Diss,499401,tt7268074,2017-11-30,"Miss Pried commands her two-spirited Mohawk student, Pynk, to colonize her many historical sentences. These sentences reflect a history of how pink has been used to colonize the world. Will...","The colour pink has been ascribed many meanings, from a reflection of the feminine to a symbol of reclaimed humanity by LGBTQ2S communities. In his latest work, avant-garde filmmaker John Greyson explores the colonial implications of the colour pink, from its association with activist movements to its colouring of the water in Grassy Narrows due to mercury poisoning. Pink this.",en,Released,0,,N/A,N/A,N/A,N/A,N/A,[35]
2017 Holiday Decorations at the White House,490175,,2017-11-27,,The decorations are up! The White House is ready to celebrate! Wishing you a Merry Christmas & joyous holiday season!,en,Released,0,,,,,,,[27]
An Echoing Memory of a Tongue,531924,,2017-11-15,,"Words are just sounds that we have ascribed meaning to. But words are finite, the sounds we can generate are probably not.",en,Released,0,,,,,,,[16]
"Córdoba, sínfonia urbana",522693,,2017-11-23,,Poetic and political portrait of the city Córdoba in Argentina.,en,Released,0,,,,,,,[]
Cradle,490850,,2017-11-24,,"Returning to the USA after losing both arms overseas, a young veteran battles phantom pains, prosthetics, and memories of his pre-war life while reaching for a sense of normalcy.",en,Released,0,,,,,,,[]
Hostage for Christmas,489710,,2017-11-28,,"Gus has decided to start his new job on Christmas eve, but how will the unexpected guest go over at a hapless couples house?",en,Released,0,,,,,,,[35]
A Lenda Condá,489797,,2017-11-28,,"Documentary about the Chapecoense soccer team, focusing on the LaMia Airlines Flight 2933 accident that killed 77 people on 28 November 2016, including 22 players.",en,Released,0,,,,,,,[]
Kudzu,486794,tt6199382,2017-11-11,N/A,"A young boy wrestles with a deepening sense of remorse after the sudden disappearance of his friend. When those close to him begin to question his involvement, he is forced to make a life-altering choice. Themes of friendship, guilt, and redemption are examined against the backdrop of a scorching summer in the rural South.",en,Released,9000,,N/A,N/A,N/A,N/A,N/A,[18]
Silent Land,514699,,2017-11-11,,"On the way through “Silent Land”, the band “The Beauty of Gemina” encounters terrifying monsters. But what is Silent Land? A leaving country? The death? The redemption? Who are the monsters? Is it the band? Who dies in the end? The Band? The Monsters?",en,Released,0,,,,,,,[12]
Dream house,515907,,2017-11-23,,,en,Released,0,,,,,,,[]
Estoy Aca,488606,,2017-11-20,,"For Ababacar and Mbaye - two Senegalese immigrants who met and established a great friendship in Buenos Aires - the challenge goes beyond adapting to the customs and living conditions in Argentina, or dealing with the indifference and racism they suffer on a daily basis : both came to an instance of their lives in which they must define a course, and in turn accept that their identities and needs became more complex. The decision to leave their country was driven by the urgent objective of financially supporting their families, but the stay in Buenos Aires crossed them with new people, new ways of seeing things, and even an economic situation different from that which they found at home. arrival.",en,Released,0,,,,,,,[]
The Dying of the Light,492769,,2017-11-23,,"At night under lights, you can decide for yourself where the movement takes you.",en,Released,0,,,,,,,[]
Guru Uchaththula Irukkaru,508709,tt7675440,2017-11-24,N/A,"A politician's rivals, his minions and a group of youngsters head to a forest in search of the politician's hidden wealth.",en,Released,0,,N/A,N/A,N/A,N/A,N/A,[]
Aux,486684,tt4443974,2017-11-10,A gruesome action horror which begins when two young boys playing in the woods discover the entrance to a military bunker undetected since WWII.,Two young boys playing in the woods discover the entrance to a military bunker undetected since World War II.,en,Released,0,,N/A,N/A,N/A,N/A,N/A,"[27, 28]"
The Wind in the Willows: The Musical,510343,tt7981864,2017-11-22,"A toad, rat, mole and badger get up to Hi-jinks in this loveable tale.","Join Ratty, Badger, Mole and the impulsive Toad as they embark on a series of riotous adventures spiralling from Toad's insatiable need for speed!",en,Released,0,,N/A,5.9,8,N/A,N/A,[]
Lenno & de Maanvis,497486,tt7791286,2017-11-18,"See the world through the eyes of Lenno, a lively boy with a behavioral disorder who can be both irritating and really sweet.","See the world through the eyes of Lenno, a lively boy with a behavioral disorder who can be both irritating and really sweet.",en,Released,0,,N/A,N/A,N/A,N/A,N/A,[]
'77 No Commercial Use,499160,tt7820836,2017-11-16,N/A,"The maker, born in 1977, made this montage film about his endlessly fascinating year of birth. In Italy the streets were full of groups protesting, there were deaths during riots in Rome, Milan and Bologna, while armed movements attacked politicians and journalists. At the same time, there was a creative boom on many fronts, punk broke through and Elvis died.",en,Released,0,,N/A,N/A,N/A,N/A,N/A,[]
fafaifaifiaifa,484020,,2017-11-13,,,en,Released,0,,,,,,,[]
Sacrilege,481141,,2017-11-06,,"Isolated in their labyrinthine apartment, a beautiful restless woman and a sick bed-ridden man (played by Blaine L. Reininger) share their common but in no way idyllic life. They are “The Beauty and the Beast”, but with the absence of Love.",en,Released,0,,,,,,,[]
To R,481153,,2017-11-06,,"A boy and a girl coming from different worlds fall in love. When summer is over, they will face the shackles of their normal routine and discover what binds them and what breaks them apart.",en,Released,0,,,,,,,[]
Curtis,483139,,2017-11-07,,"Curtis tells the story of a young man struggling to make amends with the harsh family life he left behind, while ensuring the safety of his younger brother Jordan, still there.",en,Released,0,,,,,,,[18]
In-Shadow: A Modern Odyssey,488087,tt7704904,2017-11-17,A visionary journey through the fragmented unconscious shadow of the modern world.,"Embark on a visionary journey through the fragmented unconscious of the west, and with courage face the Shadow. From Shadow into Light.",en,Released,0,,N/A,8.7,46,N/A,N/A,"[9648, 16]"
God's Own Children,488211,tt6568020,2017-11-04,Two Irish boys travel to the big city on a self-proclaimed mission from God,"In this cheeky comedy debut, two thieving boys take refuge at the local church in a small Irish town. When the parish priest leaves behind his briefcase, they embark on a self-appointed mission from God. But on their epic journey to the big city, the boys discover that the grown up world is a bit more complicated than it seems.",en,Released,0,,N/A,N/A,N/A,N/A,N/A,"[35, 18]"
Chasm,485306,,2017-11-05,,"While darkness descends, A nameless individual resumes his work.",en,Released,0,,,,,,,"[53, 9648, 27]"
